research_id,split,fold
72,train,1
17,train,1
12,train,1
153,train,1
152,train,1
68,train,1
146,train,1
34,train,1
136,train,1
105,train,1
94,train,1
260,train,1
165,train,1
259,train,1
142,train,1
223,train,1
288,train,1
20,train,1
39,train,1
252,train,1
75,train,1
318,train,1
51,train,1
109,train,1
226,train,1
81,train,1
120,train,1
289,train,1
141,train,1
206,train,1
49,train,1
256,train,1
125,train,1
267,train,1
297,train,1
286,train,1
93,train,1
30,train,1
205,train,1
203,train,1
1,train,1
60,train,1
11,train,1
76,train,1
191,train,1
158,train,1
175,train,1
110,train,1
230,train,1
116,train,1
185,train,1
33,train,1
207,train,1
67,train,1
128,train,1
168,train,1
47,train,1
96,train,1
46,train,1
248,train,1
90,train,1
193,train,1
197,train,1
7,train,1
48,train,1
174,train,1
254,train,1
61,train,1
95,train,1
150,train,1
56,train,1
63,train,1
8,train,1
112,train,1
52,train,1
45,train,1
74,train,1
36,train,1
44,train,1
64,train,1
314,train,1
149,train,1
282,train,1
196,train,1
66,train,1
293,train,1
13,train,1
69,train,1
216,train,1
246,train,1
264,train,1
155,train,1
182,train,1
154,train,1
43,train,1
50,train,1
140,train,1
115,train,1
73,train,1
18,train,1
114,train,1
3,train,1
127,train,1
111,train,1
173,train,1
180,train,1
118,train,1
204,train,1
143,train,1
285,train,1
301,train,1
25,train,1
26,train,1
10,train,1
161,train,1
211,train,1
21,train,1
77,train,1
145,train,1
16,train,1
178,train,1
270,train,1
287,train,1
210,train,1
160,train,1
317,train,1
157,train,1
35,train,1
311,train,1
183,train,1
189,train,1
198,train,1
176,train,1
89,train,1
62,train,1
15,train,1
219,train,1
163,train,1
228,train,1
71,train,1
134,train,1
107,train,1
55,train,1
156,train,1
194,train,1
224,train,1
187,train,1
166,train,1
279,train,1
274,train,1
181,train,1
177,train,1
85,train,1
186,train,1
199,train,1
103,train,1
277,train,1
304,train,1
130,train,1
237,train,1
292,train,1
14,train,1
229,train,1
164,train,1
234,train,1
220,train,1
42,train,1
278,train,1
102,train,1
70,train,1
31,train,1
23,val,1
24,val,1
27,val,1
28,val,1
32,val,1
79,val,1
83,val,1
91,val,1
97,val,1
99,val,1
106,val,1
121,val,1
159,val,1
192,val,1
240,val,1
241,val,1
249,val,1
305,val,1
315,val,1
2,test,1
9,test,1
19,test,1
29,test,1
37,test,1
38,test,1
53,test,1
54,test,1
58,test,1
59,test,1
65,test,1
80,test,1
82,test,1
84,test,1
104,test,1
108,test,1
117,test,1
119,test,1
124,test,1
126,test,1
132,test,1
133,test,1
137,test,1
138,test,1
139,test,1
144,test,1
147,test,1
151,test,1
162,test,1
169,test,1
170,test,1
179,test,1
184,test,1
190,test,1
201,test,1
202,test,1
212,test,1
214,test,1
221,test,1
253,test,1
262,test,1
268,test,1
269,test,1
291,test,1
295,test,1
300,test,1
302,test,1
313,test,1
77,train,2
20,train,2
14,train,2
144,train,2
143,train,2
71,train,2
141,train,2
38,train,2
155,train,2
107,train,2
97,train,2
262,train,2
162,train,2
260,train,2
138,train,2
212,train,2
293,train,2
26,train,2
44,train,2
253,train,2
112,train,2
318,train,2
58,train,2
115,train,2
219,train,2
64,train,2
124,train,2
292,train,2
134,train,2
202,train,2
55,train,2
259,train,2
125,train,2
267,train,2
297,train,2
286,train,2
95,train,2
35,train,2
201,train,2
199,train,2
1,train,2
62,train,2
11,train,2
128,train,2
186,train,2
151,train,2
169,train,2
116,train,2
221,train,2
120,train,2
178,train,2
70,train,2
203,train,2
69,train,2
147,train,2
164,train,2
53,train,2
81,train,2
52,train,2
246,train,2
91,train,2
190,train,2
194,train,2
7,train,2
54,train,2
168,train,2
256,train,2
65,train,2
102,train,2
166,train,2
61,train,2
67,train,2
3,train,2
137,train,2
59,train,2
49,train,2
83,train,2
42,train,2
48,train,2
27,train,2
305,train,2
142,train,2
282,train,2
193,train,2
68,train,2
295,train,2
15,train,2
72,train,2
207,train,2
240,train,2
264,train,2
157,train,2
291,train,2
146,train,2
46,train,2
56,train,2
133,train,2
119,train,2
79,train,2
23,train,2
117,train,2
2,train,2
127,train,2
111,train,2
165,train,2
175,train,2
121,train,2
228,train,2
139,train,2
285,train,2
301,train,2
30,train,2
31,train,2
8,train,2
153,train,2
206,train,2
21,train,2
80,train,2
140,train,2
19,train,2
174,train,2
268,train,2
288,train,2
205,train,2
184,train,2
317,train,2
160,train,2
39,train,2
313,train,2
204,train,2
185,train,2
196,train,2
170,train,2
85,train,2
66,train,2
17,train,2
210,train,2
156,train,2
289,train,2
73,train,2
132,train,2
114,train,2
60,train,2
149,train,2
191,train,2
214,train,2
180,train,2
269,train,2
279,train,2
274,train,2
176,train,2
173,train,2
84,train,2
179,train,2
